0,9.802,10.132,6
1,10.35,9.768,6
2,10.098,9.988,6
3,9.73,9.91,6
4,9.754,10.43,6
5,9.836,9.902,6
6,10.238,9.866,6
7,9.53,9.862,6
8,10.154,9.82,6
9,9.336,10.456,26
10,9.378,10.21,6
11,9.712,10.264,6
12,9.638,10.208,6
13,9.518,9.956,6
14,10.236,9.91,6
15,9.4,10.086,6
16,10.196,9.746,6
17,10.138,9.828,6
18,10.062,10.26,6
19,10.394,9.984,6
20,10.284,10.348,32
21,9.706,9.978,6
22,9.906,10.588,6
23,10.356,9.198,6
24,9.954,9.704,35
25,9.796,10.378,6
26,10.386,10.608,6
27,10.41,9.912,6
28,10.172,10.598,6
29,10.286,9.712,6
30,9.932,10.234,6
31,10.298,9.948,6
32,10.352,9.932,6
33,9.848,10.328,6
34,10.514,10.498,6
35,9.944,9.934,6
36,9.92,10.022,6
37,9.908,10.606,6
38,10.182,9.99,6
39,10.256,9.25,6
40,12.04,10.028,2
41,12.082,10.044,2
42,12.4,10.156,2
43,11.988,9.926,2
44,12.34,9.918,2
45,12.228,9.978,2
46,12.348,10.488,2
47,12.044,9.358,2
48,11.736,10.122,2
49,12.35,9.798,2
50,11.246,10.122,20
51,12.276,10.99,2
52,12.374,10.018,2
53,12.53,10,2
54,12.27,9.792,2
55,12.364,10.176,2
56,12.458,10.18,2
57,11.952,9.682,2
58,11.772,9.924,2
59,11.502,10.008,2
60,12.134,9.482,2
61,11.628,10.286,2
62,12.064,9.616,2
63,11.906,9.82,2
64,11.736,10.29,2
65,12.114,10.904,2
66,11.59,9.712,25
67,12.648,9.814,2
68,12.164,11.018,2
69,12.22,9.796,2
70,11.846,9.634,2
71,11.808,10.058,2
72,12.096,9.846,2
73,11.594,10.078,2
74,12.252,9.938,2
75,11.998,9.676,2
76,11.894,10.012,2
77,12.274,9.936,2
78,12.176,10.364,2
79,12.104,10.388,2
80,11.372,11.466,4
81,10.94,11.482,2
82,11.084,11.554,4
83,11.232,11.374,4
84,11.22,11.64,4
85,10.962,11.75,4
